title,movieId,rating,class
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),102666,5.0,высокий рейтинг
Latter Days (2003),7260,5.0,высокий рейтинг
"Trip, The (2002)",6342,5.0,высокий рейтинг
Me Before You (2016),152017,5.0,высокий рейтинг
Maya Lin: A Strong Clear Vision (1994),759,5.0,высокий рейтинг
Max Keeble's Big Move (2001),4822,5.0,высокий рейтинг
Masquerade (1988),4522,5.0,высокий рейтинг
"Guardian, The (1990)",2982,5.0,высокий рейтинг
Six Shooter (2004),62115,5.0,высокий рейтинг
"Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu) (2010)",92210,5.0,высокий рейтинг
"Manson Family, The (2003)",63836,5.0,высокий рейтинг
Hair (1979),26422,5.0,высокий рейтинг
Au Hasard Balthazar (1966),26151,5.0,высокий рейтинг
Hands in the Air (2010),138696,5.0,высокий рейтинг
Asylum (1972),3757,5.0,высокий рейтинг
"Two Escobars, The (2010)",79677,5.0,высокий рейтинг
Two Ninas (1999),4076,5.0,высокий рейтинг
Mambo Italiano (2003),6769,5.0,высокий рейтинг
"Razor's Edge, The (1946)",8208,5.0,высокий рейтинг
Making a Murderer (2015),150856,5.0,высокий рейтинг
Reality (2014),129313,5.0,высокий рейтинг
"Art of War, The (2000)",3879,5.0,высокий рейтинг
Undefeated (2011),93324,5.0,высокий рейтинг
Maelström (2000),5071,5.0,высокий рейтинг
Armour of God (Long xiong hu di) (1987),2880,5.0,высокий рейтинг
Undertow (2004),8955,5.0,высокий рейтинг
Side by Side (2012),97230,5.0,высокий рейтинг
Arizona Dream (1993),8254,5.0,высокий рейтинг
Aria (1987),77291,5.0,высокий рейтинг
"Designated Mourner, The (1997)",1543,5.0,высокий рейтинг
He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002),6163,5.0,высокий рейтинг
Green for Danger (1946),47728,5.0,высокий рейтинг
Caveman (1981),5427,5.0,высокий рейтинг
Mei and the Kittenbus (2002),118468,5.0,высокий рейтинг
Bandits (1997),2562,5.0,высокий рейтинг
"Ghost of Frankenstein, The (1942)",2650,5.0,высокий рейтинг
Three of Hearts (1993),26843,5.0,высокий рейтинг
Son of Frankenstein (1939),2649,5.0,высокий рейтинг
Through the Olive Trees (Zire darakhatan zeyton) (1994),69761,5.0,высокий рейтинг
"Battle Creek Brawl (Big Brawl, The) (1980)",4717,5.0,высокий рейтинг
Dr. Jekyll and Mr. Hyde (1941),7208,5.0,высокий рейтинг
Tiger Orange (2014),142068,5.0,высокий рейтинг
Something Borrowed (2011),86817,5.0,высокий рейтинг
"Goat, The (1921)",83318,5.0,высокий рейтинг
Prisoner of the Mountains (Kavkazsky plennik) (1996),1450,5.0,высокий рейтинг
"Misfits, The (1961)",4428,5.0,высокий рейтинг
Miracle Mile (1989),4626,5.0,высокий рейтинг
"Bang, Bang, You're Dead (2002)",7773,5.0,высокий рейтинг
Bandit Queen (1994),2284,5.0,высокий рейтинг
Back Soon (2007),127728,5.0,высокий рейтинг
To the Left of the Father (Lavoura Arcaica) (2001),57038,5.0,высокий рейтинг
Mildred Pierce (2011),86487,5.0,высокий рейтинг
"Good Earth, The (1937)",3447,5.0,высокий рейтинг
Mike's Murder (1984),2945,5.0,высокий рейтинг
"Good Morning, Babylon (1987)",4114,5.0,высокий рейтинг
Dorian Blues (2004),54251,5.0,высокий рейтинг
Prospero's Books (1991),26749,5.0,высокий рейтинг
Totally F***ed Up (1993),8240,5.0,высокий рейтинг
Touch of Pink (2004),27826,5.0,высокий рейтинг
Bad Influence (1990),5960,5.0,высокий рейтинг
"Grass Is Greener, The (1960)",4796,5.0,высокий рейтинг
Trailer Park Boys (1999),93320,5.0,высокий рейтинг
Message to Love: The Isle of Wight Festival (1996),1420,5.0,высокий рейтинг
Maborosi (Maboroshi no hikari) (1995),7574,5.0,высокий рейтинг
Lured (1947),3656,5.0,высокий рейтинг
Heavy (1995),764,5.0,высокий рейтинг
All-Star Superman (2011),84414,5.0,высокий рейтинг
"Circle, The (Dayereh) (2000)",4252,5.0,высокий рейтинг
Walker (1987),32515,5.0,высокий рейтинг
American Ninja 3: Blood Hunt (1989),4567,5.0,высокий рейтинг
American Ninja (1985),4565,5.0,высокий рейтинг
Little Lord Fauntleroy (1936),961,5.0,высокий рейтинг
Shelter (2007),59549,5.0,высокий рейтинг
War Room (2015),141668,5.0,высокий рейтинг
Amazing Grace (2006),51471,5.0,высокий рейтинг
Am Ende eiens viel zu kurzen Tages (Death of a superhero) (2011),107559,5.0,высокий рейтинг
She Done Him Wrong (1933),25801,5.0,высокий рейтинг
"Like Father, Like Son (Soshite chichi ni naru) (2013)",107978,5.0,высокий рейтинг
Almost Normal (2005),140751,5.0,высокий рейтинг
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",845,5.0,высокий рейтинг
"Life of Emile Zola, The (1937)",1933,5.0,высокий рейтинг
"Lizzie McGuire Movie, The (2003)",6332,5.0,высокий рейтинг
Hotel de Love (1996),1455,5.0,высокий рейтинг
"House Bunny, The (2008)",61250,5.0,высокий рейтинг
Richard Pryor Here and Now (1983),5101,5.0,высокий рейтинг
House of Frankenstein (1944),2647,5.0,высокий рейтинг
Alien Escape (1995),1692,5.0,высокий рейтинг
Clockstoppers (2002),5264,5.0,высокий рейтинг
Let It Ride (1989),4617,5.0,высокий рейтинг
Riding Giants (2004),27882,5.0,высокий рейтинг
Sgt. Pepper's Lonely Hearts Club Band (1978),6725,5.0,высокий рейтинг
Dark Days (2000),7932,5.0,высокий рейтинг
Albert Nobbs (2011),91673,5.0,высокий рейтинг
Alaska: Spirit of the Wild (1997),4459,5.0,высокий рейтинг
"Law of Desire (Ley del deseo, La) (1987)",26599,5.0,высокий рейтинг
Holy Motors (2012),96832,5.0,высокий рейтинг
Waiter (Ober) (2006),64660,5.0,высокий рейтинг
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",309,5.0,высокий рейтинг
Losing Chase (1996),1531,5.0,высокий рейтинг
Delirious (2006),59273,5.0,высокий рейтинг
"Unvanquished, The (Aparajito) (1957)",6918,5.0,высокий рейтинг
Defying Gravity (1997),3575,5.0,высокий рейтинг
Up at the Villa (2000),3580,5.0,высокий рейтинг
Helter Skelter (1976),114464,5.0,высокий рейтинг
Defiance (2008),65216,5.0,высокий рейтинг
Love Me If You Dare (Jeux d'enfants) (2003),9010,5.0,высокий рейтинг
Choose Me (1984),26501,5.0,высокий рейтинг
"Vampyros Lesbos (Vampiras, Las) (1971)",3216,5.0,высокий рейтинг
"Angel Named Billy, An (2007)",103731,5.0,высокий рейтинг
Angel Baby (1995),1428,5.0,высокий рейтинг
Andrei Rublev (Andrey Rublyov) (1969),26150,5.0,высокий рейтинг
And the Ship Sails On (E la nave va) (1983),2897,5.0,высокий рейтинг
And God Created Woman (Et Dieu... créa la femme) (1956),3845,5.0,высокий рейтинг
Voyeur (Abel) (1986),80717,5.0,высокий рейтинг
"Looney, Looney, Looney Bugs Bunny Movie, The (1981)",5765,5.0,высокий рейтинг
Shogun Assassin (1980),5244,5.0,высокий рейтинг
Victoria (2015),128620,5.0,высокий рейтинг
Death on the Staircase (Soupçons) (2004),101850,5.0,высокий рейтинг
"Death in the Garden (Mort en ce jardin, La) (1956)",820,5.0,высокий рейтинг
An Evening with Robin Williams (1982),128846,5.0,высокий рейтинг
Long-Term Relationship (2006),140755,5.0,высокий рейтинг
Hitler: The Rise of Evil (2003),27724,5.0,высокий рейтинг
Visions of Light: The Art of Cinematography (1992),26797,5.0,высокий рейтинг
Vive L'Amour (Ai qing wan sui) (1994),872,5.0,высокий рейтинг
Shining Through (1992),26791,5.0,высокий рейтинг
Requiem For The Big East (2014),139116,5.0,высокий рейтинг
Lonely Are the Brave (1962),3737,5.0,высокий рейтинг
Ghost in the Shell 2.0 (2008),136449,5.0,высокий рейтинг
Get Your Stuff (2000),140741,5.0,высокий рейтинг
Get Carter (1971),3947,5.0,высокий рейтинг
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",71390,5.0,высокий рейтинг
Brooklyn (2015),127108,5.0,высокий рейтинг
Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),27592,5.0,высокий рейтинг
"Enemy Below, The (1957)",8675,5.0,высокий рейтинг
Offside (2006),48682,5.0,высокий рейтинг
"Brother, Can You Spare a Dime? (1975)",2981,5.0,высокий рейтинг
Endurance (1999),2627,5.0,высокий рейтинг
Fiorile (1993),59447,5.0,высокий рейтинг
O Lucky Man! (1973),53887,5.0,высокий рейтинг
"Brown Bunny, The (2003)",27664,5.0,высокий рейтинг
"End, The (1978)",4201,5.0,высокий рейтинг
Fireworks Wednesday (Chaharshanbe-soori) (2006),107555,5.0,высокий рейтинг
State of Siege (État de siège) (1972),78903,5.0,высокий рейтинг
Tango (1998),2573,5.0,высокий рейтинг
Stargate: The Ark of Truth (2008),59392,5.0,высокий рейтинг
Bobby (2006),49280,5.0,высокий рейтинг
Stargate: Continuum (2008),60674,5.0,высокий рейтинг
Taste of Cherry (Ta'm e guilass) (1997),1859,5.0,высокий рейтинг
"Northerners, The (De noorderlingen) (1992)",79469,5.0,высокий рейтинг
North Shore (1987),4140,5.0,высокий рейтинг
Bleak House (2005),96075,5.0,высокий рейтинг
Flicka (2006),48791,5.0,высокий рейтинг
